captely-frontend  | 2025-06-08T13:48:18.255744615Z /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
captely-frontend  | 2025-06-08T13:58:50.915865109Z 51.195.190.14 - - [08/Jun/2025:13:58:50 +0000] "GET / HTTP/1.0" 200 2088 "-" "-" "-"
captely-frontend  | 2025-06-08T13:58:51.961047652Z 172.18.0.15 - - [08/Jun/2025:13:58:51 +0000] "GET / HTTP/1.1" 200 2088 "-" "-" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.189509447Z 51.195.190.14 - - [08/Jun/2025:13:59:09 +0000] "GET /Portal0000.htm HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:09.190390445Z 51.195.190.14 - - [08/Jun/2025:13:59:09 +0000] "GET / HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:09.192563834Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "GET / HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.192876264Z 51.195.190.14 - - [08/Jun/2025:13:59:09 +0000] "GET / HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:09.351796238Z 51.195.190.14 - - [08/Jun/2025:13:59:09 +0000] "GET /__Additional HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:09.405709736Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "GET /webui HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.407042924Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "GET /login.php HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.407093858Z 51.195.190.14 - - [08/Jun/2025:13:59:09 +0000] "GET /rest/applinks/1.0/manifest HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:09.424893269Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "GET /EhgH HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.464930969Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "POST /scripts/WPnBr.dll HTTP/1.1" 405 157 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.515273692Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "POST /sdk HTTP/1.1" 405 157 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.566147401Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "GET / HTTP/1.1" 200 2088 "-" "-" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.583073918Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "GET /dniapi/userInfos HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.583229016Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "GET / HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.618986742Z 51.195.190.14 - - [08/Jun/2025:13:59:09 +0000] "GET /favicon.ico HTTP/1.1" 200 11169 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:09.619015645Z 51.195.190.14 - - [08/Jun/2025:13:59:09 +0000] "GET /.git/HEAD HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:09.696629231Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "GET /Portal0000.htm HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.724445427Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "GET /owa/ HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.724551114Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "GET /api/v2/about HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.775837049Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "GET /rest/applinks/1.0/manifest HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.831776773Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "GET / HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.832007723Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "GET /__Additional HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.880882176Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "GET /owa/ HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.884949915Z 172.18.0.15 - - [08/Jun/2025:13:59:09 +0000] "GET /webui HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:10.049043674Z 172.18.0.15 - - [08/Jun/2025:13:59:10 +0000] "GET /favicon.ico HTTP/1.1" 200 11169 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:10.050808974Z 172.18.0.15 - - [08/Jun/2025:13:59:10 +0000] "GET /user HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:10.100255071Z 51.195.190.14 - - [08/Jun/2025:13:59:10 +0000] "GET /cgi-mod/header_logo.cgi?size=big HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:10.204771104Z 172.18.0.15 - - [08/Jun/2025:13:59:10 +0000] "GET /human.aspx?arg12=infotech HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:10.355477833Z 51.195.190.14 - - [08/Jun/2025:13:59:10 +0000] "\x0E\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00bbbb0100000001" 400 157 "-" "-" "-"
captely-frontend  | 2025-06-08T13:59:10.372871409Z 172.18.0.15 - - [08/Jun/2025:13:59:10 +0000] "GET /dana-cached/hc/HostCheckerInstaller.osx HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:10.414114238Z 172.18.0.15 - - [08/Jun/2025:13:59:10 +0000] "GET /.git/HEAD HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:10.514549489Z 51.195.190.14 - - [08/Jun/2025:13:59:10 +0000] "GET /?=PHPE9568F36-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:10.517179056Z 172.18.0.15 - - [08/Jun/2025:13:59:10 +0000] "GET /dana-na/nc/nc_gina_ver.txt HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:10.668247817Z 172.18.0.15 - - [08/Jun/2025:13:59:10 +0000] "GET /+CSCOE+/logon.html HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:10.669332222Z 51.195.190.14 - - [08/Jun/2025:13:59:10 +0000] "GET /?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000 HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:10.823763984Z 51.195.190.14 - - [08/Jun/2025:13:59:10 +0000] "GET /Portal/Portal.mwsl HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:10.849668678Z 172.18.0.15 - - [08/Jun/2025:13:59:10 +0000] "GET /CFIDE/componentutils/ HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:10.971950960Z 51.195.190.14 - - [08/Jun/2025:13:59:10 +0000] "GET /docs/cplugError.html/ HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:10.976044038Z 172.18.0.15 - - [08/Jun/2025:13:59:10 +0000] "GET /geoserver/index.html HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:11.129681402Z 172.18.0.15 - - [08/Jun/2025:13:59:11 +0000] "GET /geoserver/ HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:11.179684384Z 51.195.190.14 - - [08/Jun/2025:13:59:11 +0000] "HEAD / HTTP/1.1" 200 0 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:11.300698098Z 172.18.0.15 - - [08/Jun/2025:13:59:11 +0000] "GET /geoserver/web/wicket/bookmarkable/org.geoserver.web.AboutGeoServerPage HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:11.431041211Z 172.18.0.15 - - [08/Jun/2025:13:59:11 +0000] "GET /cgi-mod/header_logo.cgi?size=big HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:11.432637678Z 172.18.0.15 - - [08/Jun/2025:13:59:11 +0000] "GET /Account/Login HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:11.641089275Z 172.18.0.15 - - [08/Jun/2025:13:59:11 +0000] "GET /cgi-bin/info.cgi HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:11.736962687Z 51.195.190.14 - - [08/Jun/2025:13:59:11 +0000] "GET /CSS/Miniweb.css HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:11.792037163Z 172.18.0.15 - - [08/Jun/2025:13:59:11 +0000] "GET /xml/info.xml HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:11.956418447Z 172.18.0.15 - - [08/Jun/2025:13:59:11 +0000] "GET /magento_version HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:12.095025197Z 172.18.0.15 - - [08/Jun/2025:13:59:12 +0000] "GET /api/v1/check-version HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:12.242801019Z 172.18.0.15 - - [08/Jun/2025:13:59:12 +0000] "GET /fog/management/index.php?node=client&sub=logininfo HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:12.411612386Z 172.18.0.15 - - [08/Jun/2025:13:59:12 +0000] "GET /helpdesk/WebObjects/Helpdesk.woa HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:12.549165810Z 172.18.0.15 - - [08/Jun/2025:13:59:12 +0000] "GET /cluster/list.query HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:12.696273759Z 172.18.0.15 - - [08/Jun/2025:13:59:12 +0000] "GET /apps/zxtm/login.cgi HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:12.849875829Z 172.18.0.15 - - [08/Jun/2025:13:59:12 +0000] "GET /api/server/version HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:12.999131903Z 172.18.0.15 - - [08/Jun/2025:13:59:12 +0000] "GET /administrator/manifests/files/joomla.xml HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:13.148942847Z 172.18.0.15 - - [08/Jun/2025:13:59:13 +0000] "GET /language/en-GB/en-GB.xml HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:13.322453918Z 172.18.0.15 - - [08/Jun/2025:13:59:13 +0000] "GET /versa/login HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:13.453212573Z 172.18.0.15 - - [08/Jun/2025:13:59:13 +0000] "GET /login.html HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:13.610269965Z 172.18.0.15 - - [08/Jun/2025:13:59:13 +0000] "GET /p/login/ HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:13.779237311Z 172.18.0.15 - - [08/Jun/2025:13:59:13 +0000] "GET /api/version HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:13.933300518Z 172.18.0.15 - - [08/Jun/2025:13:59:13 +0000] "GET /portal/ HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:14.086716823Z 172.18.0.15 - - [08/Jun/2025:13:59:14 +0000] "GET /status HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:14.220022082Z 172.18.0.15 - - [08/Jun/2025:13:59:14 +0000] "GET /info.asp HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:14.369937640Z 172.18.0.15 - - [08/Jun/2025:13:59:14 +0000] "GET /cgi-bin/param.cgi?get_device_conf HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:14.523606624Z 172.18.0.15 - - [08/Jun/2025:13:59:14 +0000] "GET /lms/db HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:14.723441347Z 172.18.0.15 - - [08/Jun/2025:13:59:14 +0000] "GET /ext-js/app/common/zld_product_spec.js HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:14.878151848Z 172.18.0.15 - - [08/Jun/2025:13:59:14 +0000] "GET /login/login.html HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:15.031765168Z 172.18.0.15 - - [08/Jun/2025:13:59:15 +0000] "GET /allversions HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:15.183595035Z 172.18.0.15 - - [08/Jun/2025:13:59:15 +0000] "GET /versions HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:15.349575260Z 172.18.0.15 - - [08/Jun/2025:13:59:15 +0000] "GET /r-seenet/index.php HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:15.378543759Z 51.195.190.14 - - [08/Jun/2025:13:59:15 +0000] "GET / HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:15.505896043Z 172.18.0.15 - - [08/Jun/2025:13:59:15 +0000] "GET /api/vip/i18n/api/v2/translation/products/vRNIUI/versions/1 HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:15.635959647Z 172.18.0.15 - - [08/Jun/2025:13:59:15 +0000] "GET /tos/index.php?user/login HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:15.782787776Z 172.18.0.15 - - [08/Jun/2025:13:59:15 +0000] "GET /c/login HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:15.786746925Z 172.18.0.15 - - [08/Jun/2025:13:59:15 +0000] "GET /?=PHPE9568F36-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:15.934089472Z 172.18.0.15 - - [08/Jun/2025:13:59:15 +0000] "GET /?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000 HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:15.936164989Z 172.18.0.15 - - [08/Jun/2025:13:59:15 +0000] "GET /WebApp/js/UI_String.js HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:15.983661000Z 51.195.190.14 - - [08/Jun/2025:13:59:15 +0000] "GET /nmaplowercheck1749391149 HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:16.112525826Z 172.18.0.15 - - [08/Jun/2025:13:59:16 +0000] "GET /login.aspx HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:16.138384946Z 51.195.190.14 - - [08/Jun/2025:13:59:16 +0000] "GET /NmapUpperCheck1749391149 HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:16.255651696Z 172.18.0.15 - - [08/Jun/2025:13:59:16 +0000] "GET /officescan/console/html/localization.js HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:16.288321784Z 51.195.190.14 - - [08/Jun/2025:13:59:16 +0000] "GET /Nmap/folder/check1749391149 HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:16.393864155Z 172.18.0.15 - - [08/Jun/2025:13:59:16 +0000] "GET /officescan/console/cgi/cgiChkMasterPwd.exe HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:16.465033854Z 172.18.0.15 - - [08/Jun/2025:13:59:16 +0000] "GET /Portal/Portal.mwsl HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:16.546582443Z 172.18.0.15 - - [08/Jun/2025:13:59:16 +0000] "GET /IPCamDesc.xml HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:16.601480400Z 172.18.0.15 - - [08/Jun/2025:13:59:16 +0000] "GET /docs/cplugError.html/ HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:16.698590670Z 172.18.0.15 - - [08/Jun/2025:13:59:16 +0000] "GET /kylin/ HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:16.853814384Z 172.18.0.15 - - [08/Jun/2025:13:59:16 +0000] "GET /api/v1.0/environment HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:17.004021104Z 172.18.0.15 - cslu-windows-client [08/Jun/2025:13:59:17 +0000] "GET /cslu/v1/core/conf HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:17.076035493Z 172.18.0.15 - - [08/Jun/2025:13:59:17 +0000] "HEAD / HTTP/1.1" 200 0 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:17.158345247Z 172.18.0.15 - - [08/Jun/2025:13:59:17 +0000] "GET /config HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:17.312167566Z 172.18.0.15 - - [08/Jun/2025:13:59:17 +0000] "GET /CHANGELOG.txt HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:17.460706796Z 172.18.0.15 - - [08/Jun/2025:13:59:17 +0000] "GET /admin/reports/status HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:17.637099433Z 172.18.0.15 - - [08/Jun/2025:13:59:17 +0000] "GET /admin/reports/updates HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:17.663214037Z 51.195.190.14 - - [08/Jun/2025:13:59:17 +0000] "GET /localstart.php HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:17.769583234Z 172.18.0.15 - - [08/Jun/2025:13:59:17 +0000] "GET /javascript/validation/OEM.js HTTP/1.1" 200 2088 "-" "curl/7.54.0" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:17.821040007Z 51.195.190.14 - - [08/Jun/2025:13:59:17 +0000] "GET /inicio.html HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
